time_period,time_identifier,geographic_level,country_code,country_name,education_phase,count_schools,school_places,school_places_change_from_previous_survey,school_places_change_from_200910,pupils_on_roll,at_or_over_capacity_schools,percent_at_or_over_capacity_schools,pupils_over_capacity,percent_pupils_over_capacity,under_capacity_schools,percent_under_capacity_schools,unfilled_places,percent_unfilled_places
202324,Academic year,National,E92000001,England,Total,20174,9002372,24326,1213939,7996581,3532,17.5076,57725,0.64121989,16642,82.4923,1063516,11.81373087
202324,Academic year,National,E92000001,England,Primary,16759,4950124,879,724809,4359531,2721,16.236,20737,0.4189188,14038,83.7639,611330,12.34979164
202324,Academic year,National,E92000001,England,Secondary,3415,4052248,23447,489130,3637050,811,23.7481,36988,0.9127773,2604,76.2518,452186,11.15889255
202223,Academic year,National,E92000001,England,Total,20188,8978046,25425,1189613,7993753,3661,18.1345,58616,0.65288148,16527,81.8654,1042909,11.61621359
202223,Academic year,National,E92000001,England,Primary,16779,4949245,1578,723930,4393178,2874,17.1285,21580,0.4360261,13905,82.8714,577647,11.67141655
202223,Academic year,National,E92000001,England,Secondary,3409,4028801,23847,465683,3600575,787,23.0859,37036,0.91928095,2622,76.914,465262,11.54839864
202122,Academic year,National,E92000001,England,Total,20189,8952621,46654,1164188,7940834,3640,18.0296,59201,0.66127003,16549,81.9703,1070988,11.96284306
202122,Academic year,National,E92000001,England,Primary,16783,4947667,4556,722352,4401109,2870,17.1006,22466,0.4540726,13913,82.8993,569024,11.50085485
202122,Academic year,National,E92000001,England,Secondary,3406,4004954,42098,441836,3539725,770,22.6071,36735,0.917239,2636,77.3928,501964,12.53357716
202021,Academic year,National,E92000001,England,Total,20183,8905967,111986,1117534,7872735,3537,17.5246,56368,0.63292397,16644,82.4654,1089462,12.2329445
202021,Academic year,National,E92000001,England,Primary,16791,4943111,46642,717796,4403235,2785,16.5862,20930,0.42341756,14005,83.4077,560716,11.34338274
202021,Academic year,National,E92000001,England,Secondary,3392,3962856,65344,399738,3469500,752,22.1698,35438,0.89425404,2639,77.8007,528746,13.34254891
201920,Academic year,National,E92000001,England,Total,x,x,x,x,x,x,x,x,x,x,x,x,x
201920,Academic year,National,E92000001,England,Primary,x,x,x,x,x,x,x,x,x,x,x,x,x
201920,Academic year,National,E92000001,England,Secondary,x,x,x,x,x,x,x,x,x,x,x,x,x
201819,Academic year,National,E92000001,England,Total,20158,8793981,82610,1005548,7740594,3902,19.357,50396,0.57307379,16254,80.6329,1103643,12.54998163
201819,Academic year,National,E92000001,England,Primary,16769,4896469,33140,671154,4439571,3340,19.9177,25481,0.52039541,13428,80.0763,482335,9.85066994
201819,Academic year,National,E92000001,England,Secondary,3389,3897512,49470,334394,3301023,562,16.583,24915,0.63925397,2826,83.3874,621308,15.94114399
201718,Academic year,National,E92000001,England,Total,20147,8711371,95930,922938,7654797,4031,20.0079,49603,0.56940521,16114,79.9821,1105991,12.69594648
201718,Academic year,National,E92000001,England,Primary,16771,4863329,59172,638014,4423856,3519,20.9826,27441,0.56424313,13251,79.0113,466824,9.59885708
201718,Academic year,National,E92000001,England,Secondary,3376,3848042,36758,284924,3230941,512,15.1658,22162,0.57592926,2863,84.8045,639167,16.61018773
201617,Academic year,National,E92000001,England,Total,20161,8615441,89705,827008,7578789,4374,21.6953,54145,0.62846464,15786,78.2996,1090727,12.66014125
201617,Academic year,National,E92000001,England,Primary,16782,4804157,66257,578842,4381270,3826,22.7982,29974,0.62391799,12955,77.1958,452791,9.4249834
201617,Academic year,National,E92000001,England,Secondary,3379,3811284,23448,248166,3197519,548,16.2178,24171,0.63419572,2831,83.7821,637936,16.73808617
201516,Academic year,National,E92000001,England,Total,20146,8525736,136257,737303,7478455,4268,21.1853,50246,0.58934501,15878,78.8146,1097527,12.87310562
201516,Academic year,National,E92000001,England,Primary,16771,4737900,103966,512585,4307008,3781,22.5448,30173,0.63684333,12990,77.4551,461065,9.73142109
201516,Academic year,National,E92000001,England,Secondary,3375,3787836,32291,224718,3171447,487,14.4296,20073,0.52993319,2888,85.5703,636462,16.8027866
201415,Academic year,National,E92000001,England,Total,20115,8389479,149649,601046,7373694,4307,21.4118,50329,0.59990614,15808,78.5881,1066114,12.70774979
201415,Academic year,National,E92000001,England,Primary,16759,4633934,105911,408619,4210503,3807,22.7161,30539,0.65902967,12952,77.2838,453970,9.79664363
201415,Academic year,National,E92000001,England,Secondary,3356,3755545,43738,192427,3163191,500,14.8986,19790,0.52695414,2856,85.1013,612144,16.29973812
201314,Academic year,National,E92000001,England,Total,20087,8239830,186321,451397,7278775,4195,20.8841,49717,0.6033741,15892,79.1158,1010772,12.26690356
201314,Academic year,National,E92000001,England,Primary,16766,4528023,111815,302708,4111660,3697,22.0505,30737,0.67881722,13069,77.9494,447100,9.87406645
201314,Academic year,National,E92000001,England,Secondary,3321,3711807,74506,148689,3167115,498,14.9954,18980,0.51134124,2823,85.0045,563672,15.18591888
201213,Academic year,National,E92000001,England,Total,20049,8053509,138946,265076,7202897,4096,20.4299,53888,0.66912448,15953,79.57,904500,11.23112919
201213,Academic year,National,E92000001,England,Primary,16775,4416208,102438,190893,4011425,3514,20.9478,30276,0.68556553,13261,79.0521,435059,9.85141551
201213,Academic year,National,E92000001,England,Secondary,3274,3637301,36508,74183,3191472,582,17.7764,23612,0.64916266,2692,82.2235,469441,12.90630058
201112,Academic year,National,E92000001,England,Total,20072,7914563,52291,126130,7138081,4117,20.5111,62263,0.78668904,15955,79.4888,838745,10.59748972
201112,Academic year,National,E92000001,England,Primary,16812,4313770,60469,88455,3912538,3423,20.3604,31494,0.73008065,13389,79.6395,432726,10.03127195
201112,Academic year,National,E92000001,England,Secondary,3260,3600793,-8178,37675,3225543,694,21.2883,30769,0.85450622,2566,78.7116,406019,11.27582174
201011,Academic year,National,E92000001,England,Total,20173,7862272,73839,73839,7098721,4275,21.1916,77101,0.98064529,15898,78.8083,840652,10.69222739
201011,Academic year,National,E92000001,England,Primary,16873,4253301,27986,27986,3845738,3438,20.3757,36845,0.86626834,13435,79.6242,444408,10.44854338
201011,Academic year,National,E92000001,England,Secondary,3300,3608971,45853,45853,3252983,837,25.3636,40256,1.1154426,2463,74.6363,396244,10.97941768
200910,Academic year,National,E92000001,England,Total,20269,7788433,z,z,7072357,4374,21.5797,97218,1.24823568,15895,78.4202,813294,10.4423316
200910,Academic year,National,E92000001,England,Primary,16957,4225315,z,z,3808952,3444,20.3101,41677,0.98636433,13513,79.6898,458040,10.84037521
200910,Academic year,National,E92000001,England,Secondary,3312,3563118,z,z,3263405,930,28.0797,55541,1.55877521,2382,71.9202,355254,9.97031252
